AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,bug
2.0,2.0,2.0,2.0,18.0,0.0,18.0,0.0,46.0,4.0,42.0,17.0,20.0,0.0,27.0,32.0,13.0,19.0,4.0,4.0,4.0,0.0,5.0,5.0,5.0,5.0,0
3.0,2.0,3.0,2.0,12.0,0.0,11.0,1.0,27.0,0.0,26.0,5.0,16.0,2.0,12.0,16.0,4.0,12.0,5.0,3.0,5.0,0.08,6.0,4.0,6.0,5.0,0
1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,30.0,5.0,25.0,8.0,12.0,0.0,15.0,20.0,8.0,12.0,1.0,1.0,1.0,0.0,4.0,4.0,4.0,4.0,1
1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,16.0,3.0,13.0,6.0,3.0,0.0,5.0,9.0,6.0,3.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,0
1.0,1.0,1.0,1.0,8.0,0.0,8.0,0.0,68.0,7.0,61.0,21.0,33.0,0.0,21.0,29.0,11.0,18.0,1.0,1.0,1.0,0.0,7.0,7.0,7.0,7.0,1
8.0,8.0,9.0,4.0,56.0,5.0,40.0,14.0,278.0,35.0,174.0,48.0,90.0,85.0,104.0,129.0,51.0,78.0,16.0,16.0,19.0,0.49,33.0,33.0,39.0,18.0,0
9.0,6.0,15.0,6.0,38.0,2.0,33.0,3.0,160.0,12.0,134.0,31.0,86.0,14.0,66.0,90.0,32.0,58.0,17.0,17.0,41.0,0.1,36.0,26.0,60.0,27.0,0
1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,56.0,5.0,51.0,18.0,24.0,0.0,18.0,26.0,10.0,16.0,1.0,1.0,1.0,0.0,5.0,5.0,5.0,5.0,1
1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,28.0,6.0,22.0,8.0,8.0,0.0,10.0,13.0,5.0,8.0,1.0,1.0,1.0,0.0,5.0,5.0,5.0,5.0,0
1.0,1.0,1.0,1.0,12.0,2.0,9.0,0.0,32.0,9.0,23.0,10.0,9.0,0.0,13.0,16.0,7.0,9.0,2.0,2.0,2.0,0.0,3.0,3.0,3.0,2.0,0
1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,31.0,5.0,26.0,9.0,11.0,0.0,14.0,18.0,7.0,11.0,1.0,1.0,1.0,0.0,5.0,5.0,5.0,5.0,0
1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,38.0,9.0,29.0,13.0,8.0,0.0,13.0,20.0,12.0,8.0,1.0,1.0,1.0,0.0,7.0,7.0,7.0,7.0,0
1.0,1.0,1.0,1.0,10.0,0.0,10.0,0.0,70.0,6.0,64.0,16.0,42.0,0.0,16.0,23.0,10.0,13.0,1.0,1.0,1.0,0.0,6.0,6.0,6.0,6.0,1
1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,52.0,9.0,43.0,13.0,19.0,0.0,20.0,30.0,11.0,19.0,2.0,2.0,2.0,0.0,10.0,10.0,10.0,7.0,1
1.0,1.0,2.0,1.0,11.0,0.0,9.0,2.0,29.0,3.0,23.0,14.0,5.0,5.0,13.0,16.0,11.0,5.0,2.0,2.0,3.0,0.22,3.0,3.0,4.0,2.0,1
7.0,7.0,8.0,4.0,32.0,0.0,31.0,1.0,34.0,1.0,32.0,8.0,17.0,1.0,16.0,24.0,8.0,16.0,7.0,7.0,8.0,0.03,7.0,7.0,8.0,4.0,0
1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,70.0,12.0,40.0,16.0,13.0,18.0,18.0,28.0,15.0,13.0,2.0,2.0,2.0,0.45,9.0,9.0,9.0,8.0,0
1.0,1.0,2.0,1.0,6.0,0.0,6.0,0.0,19.0,4.0,15.0,6.0,5.0,1.0,7.0,10.0,5.0,5.0,2.0,2.0,3.0,0.07,3.0,3.0,4.0,2.0,0
1.0,1.0,1.0,1.0,11.0,2.0,8.0,0.0,50.0,14.0,36.0,10.0,21.0,0.0,26.0,31.0,10.0,21.0,1.0,1.0,1.0,0.0,4.0,4.0,4.0,4.0,0
2.0,2.0,2.0,2.0,8.0,0.0,8.0,0.0,113.0,11.0,85.0,23.0,41.0,17.0,41.0,59.0,19.0,40.0,10.0,10.0,13.0,0.2,20.0,20.0,23.0,18.0,0
1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,13.0,2.0,11.0,6.0,3.0,0.0,6.0,9.0,6.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,1
1.0,1.0,1.0,1.0,8.0,0.0,7.0,1.0,12.0,2.0,9.0,2.0,5.0,1.0,5.0,6.0,1.0,5.0,1.0,1.0,1.0,0.11,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,7.0,0.0,6.0,1.0,18.0,1.0,15.0,4.0,7.0,2.0,5.0,9.0,3.0,6.0,2.0,2.0,2.0,0.13,3.0,3.0,3.0,2.0,0
3.0,3.0,3.0,1.0,17.0,1.0,15.0,0.0,61.0,9.0,50.0,23.0,17.0,2.0,31.0,37.0,21.0,16.0,4.0,4.0,6.0,0.04,9.0,9.0,11.0,3.0,0
2.0,2.0,2.0,1.0,17.0,0.0,16.0,0.0,201.0,15.0,168.0,60.0,79.0,21.0,83.0,109.0,48.0,61.0,5.0,5.0,6.0,0.13,23.0,23.0,25.0,11.0,1
1.0,1.0,1.0,1.0,23.0,0.0,21.0,1.0,269.0,11.0,237.0,164.0,56.0,23.0,71.0,85.0,33.0,52.0,2.0,2.0,2.0,0.1,12.0,12.0,12.0,11.0,0
2.0,2.0,2.0,1.0,14.0,2.0,12.0,0.0,47.0,9.0,38.0,16.0,15.0,0.0,20.0,27.0,14.0,13.0,5.0,5.0,5.0,0.0,7.0,7.0,7.0,3.0,0
1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,32.0,5.0,18.0,8.0,6.0,9.0,9.0,13.0,7.0,6.0,1.0,1.0,1.0,0.5,4.0,4.0,4.0,4.0,0
1.0,1.0,1.0,1.0,7.0,0.0,6.0,0.0,105.0,16.0,87.0,26.0,42.0,2.0,49.0,71.0,26.0,45.0,4.0,4.0,4.0,0.02,21.0,21.0,21.0,14.0,0
1.0,1.0,1.0,1.0,10.0,1.0,7.0,1.0,49.0,8.0,31.0,11.0,16.0,10.0,19.0,24.0,8.0,16.0,1.0,1.0,1.0,0.32,4.0,4.0,4.0,4.0,0
3.0,2.0,3.0,1.0,19.0,0.0,16.0,1.0,96.0,10.0,79.0,21.0,48.0,7.0,45.0,54.0,14.0,40.0,8.0,3.0,8.0,0.09,13.0,8.0,13.0,4.0,1
1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,34.0,6.0,28.0,10.0,10.0,0.0,14.0,19.0,9.0,10.0,2.0,2.0,2.0,0.0,7.0,7.0,7.0,6.0,0
3.0,3.0,4.0,2.0,15.0,1.0,13.0,0.0,37.0,6.0,30.0,9.0,13.0,1.0,16.0,21.0,10.0,11.0,6.0,6.0,7.0,0.03,7.0,7.0,8.0,4.0,0
1.0,1.0,1.0,1.0,6.0,0.0,6.0,2.0,54.0,7.0,47.0,15.0,25.0,17.0,30.0,38.0,15.0,23.0,1.0,1.0,1.0,0.36,7.0,7.0,7.0,7.0,1
2.0,2.0,2.0,1.0,10.0,0.0,9.0,0.0,65.0,10.0,49.0,17.0,20.0,6.0,28.0,36.0,17.0,19.0,4.0,4.0,5.0,0.12,11.0,11.0,14.0,5.0,0
1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,35.0,6.0,29.0,12.0,11.0,0.0,15.0,20.0,10.0,10.0,3.0,3.0,3.0,0.0,5.0,5.0,5.0,3.0,0
2.0,2.0,2.0,1.0,10.0,0.0,9.0,0.0,56.0,9.0,47.0,23.0,16.0,0.0,29.0,38.0,22.0,16.0,5.0,5.0,6.0,0.0,7.0,7.0,8.0,3.0,1
2.0,2.0,2.0,1.0,16.0,1.0,15.0,0.0,171.0,23.0,146.0,30.0,94.0,2.0,87.0,110.0,24.0,86.0,6.0,6.0,7.0,0.01,21.0,21.0,23.0,11.0,0
1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,54.0,6.0,47.0,21.0,17.0,1.0,21.0,28.0,13.0,15.0,3.0,2.0,3.0,0.02,9.0,8.0,9.0,6.0,1
1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,38.0,7.0,31.0,12.0,13.0,0.0,18.0,24.0,11.0,13.0,1.0,1.0,1.0,0.0,6.0,6.0,6.0,6.0,0
1.0,1.0,1.0,1.0,11.0,0.0,10.0,0.0,208.0,25.0,183.0,77.0,79.0,1.0,105.0,133.0,58.0,75.0,4.0,4.0,4.0,0.01,12.0,12.0,12.0,7.0,0
1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,53.0,8.0,45.0,19.0,18.0,1.0,16.0,23.0,9.0,14.0,5.0,2.0,5.0,0.02,10.0,7.0,10.0,6.0,1
5.0,5.0,6.0,3.0,32.0,3.0,27.0,0.0,532.0,74.0,447.0,154.0,216.0,20.0,245.0,317.0,122.0,195.0,24.0,24.0,24.0,0.04,83.0,83.0,91.0,48.0,0
2.0,2.0,2.0,2.0,11.0,0.0,11.0,0.0,26.0,3.0,23.0,10.0,8.0,0.0,11.0,16.0,9.0,7.0,4.0,4.0,4.0,0.0,5.0,5.0,5.0,5.0,0
3.0,3.0,4.0,2.0,11.0,0.0,11.0,0.0,77.0,7.0,69.0,16.0,38.0,1.0,36.0,51.0,14.0,37.0,9.0,9.0,9.0,0.01,14.0,14.0,16.0,11.0,0
1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,62.0,12.0,33.0,15.0,10.0,17.0,17.0,24.0,14.0,10.0,2.0,2.0,3.0,0.52,7.0,7.0,8.0,6.0,0
1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,93.0,12.0,81.0,17.0,41.0,0.0,29.0,49.0,27.0,22.0,3.0,3.0,3.0,0.0,13.0,13.0,13.0,10.0,0
2.0,2.0,2.0,1.0,11.0,0.0,10.0,0.0,270.0,23.0,176.0,55.0,85.0,72.0,98.0,136.0,52.0,84.0,7.0,7.0,7.0,0.41,32.0,32.0,36.0,15.0,0
3.0,3.0,5.0,1.0,21.0,1.0,18.0,1.0,67.0,7.0,57.0,19.0,28.0,3.0,32.0,42.0,18.0,24.0,6.0,6.0,11.0,0.05,10.0,10.0,15.0,5.0,1
3.0,2.0,3.0,1.0,18.0,0.0,16.0,1.0,604.0,57.0,489.0,139.0,278.0,60.0,293.0,368.0,124.0,244.0,9.0,9.0,12.0,0.12,78.0,71.0,90.0,32.0,1
1.0,1.0,1.0,1.0,8.0,0.0,7.0,0.0,103.0,17.0,70.0,23.0,34.0,16.0,42.0,55.0,22.0,33.0,4.0,4.0,6.0,0.23,13.0,13.0,16.0,9.0,0
1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,78.0,23.0,39.0,23.0,9.0,16.0,25.0,31.0,22.0,9.0,3.0,3.0,4.0,0.41,6.0,6.0,7.0,6.0,1
1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,50.0,6.0,10.0,8.0,0.0,34.0,6.0,7.0,7.0,0.0,1.0,1.0,1.0,3.4,1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,16.0,4.0,6.0,4.0,0.0,6.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,10.0,1.0,5.0,3.0,0.0,4.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,34.0,5.0,29.0,14.0,11.0,0.0,12.0,15.0,11.0,4.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,1
3.0,3.0,3.0,3.0,10.0,0.0,10.0,0.0,28.0,4.0,22.0,6.0,9.0,2.0,8.0,14.0,5.0,9.0,5.0,5.0,6.0,0.09,6.0,6.0,7.0,6.0,0
2.0,2.0,2.0,1.0,10.0,0.0,10.0,0.0,81.0,7.0,72.0,21.0,38.0,2.0,40.0,52.0,17.0,35.0,3.0,3.0,4.0,0.03,12.0,12.0,13.0,6.0,0
2.0,2.0,2.0,1.0,9.0,0.0,9.0,0.0,56.0,3.0,53.0,8.0,38.0,1.0,39.0,44.0,6.0,38.0,4.0,4.0,4.0,0.02,5.0,5.0,5.0,2.0,0
5.0,5.0,6.0,1.0,22.0,0.0,21.0,0.0,74.0,6.0,66.0,13.0,36.0,2.0,30.0,44.0,12.0,32.0,11.0,11.0,15.0,0.03,16.0,16.0,20.0,5.0,1
1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,34.0,5.0,27.0,12.0,9.0,2.0,9.0,15.0,8.0,7.0,3.0,3.0,3.0,0.07,6.0,6.0,6.0,4.0,0
2.0,2.0,2.0,1.0,10.0,0.0,10.0,0.0,38.0,4.0,34.0,11.0,17.0,0.0,20.0,26.0,10.0,16.0,3.0,3.0,3.0,0.0,6.0,6.0,6.0,3.0,0
1.0,1.0,1.0,1.0,19.0,3.0,15.0,1.0,273.0,33.0,204.0,40.0,131.0,46.0,122.0,151.0,37.0,114.0,2.0,2.0,3.0,0.23,5.0,5.0,6.0,4.0,1
4.0,4.0,4.0,1.0,16.0,0.0,16.0,0.0,40.0,4.0,35.0,11.0,15.0,1.0,18.0,25.0,12.0,13.0,7.0,7.0,7.0,0.03,8.0,8.0,8.0,2.0,0
2.0,2.0,2.0,2.0,44.0,0.0,44.0,0.0,141.0,5.0,136.0,11.0,117.0,0.0,122.0,129.0,12.0,117.0,4.0,4.0,4.0,0.0,7.0,7.0,7.0,6.0,0
1.0,1.0,1.0,1.0,13.0,2.0,5.0,5.0,126.0,8.0,45.0,37.0,4.0,73.0,8.0,10.0,6.0,4.0,2.0,2.0,2.0,1.62,3.0,3.0,3.0,2.0,0
3.0,3.0,3.0,1.0,13.0,1.0,11.0,0.0,62.0,10.0,49.0,13.0,22.0,4.0,27.0,37.0,15.0,22.0,5.0,5.0,6.0,0.08,13.0,13.0,15.0,7.0,0
2.0,2.0,2.0,1.0,11.0,0.0,11.0,0.0,62.0,5.0,57.0,12.0,33.0,0.0,46.0,52.0,19.0,33.0,3.0,3.0,3.0,0.0,12.0,12.0,12.0,5.0,0
3.0,3.0,3.0,2.0,15.0,0.0,12.0,2.0,498.0,42.0,341.0,147.0,128.0,167.0,145.0,197.0,75.0,122.0,10.0,10.0,11.0,0.49,65.0,65.0,73.0,48.0,0
5.0,5.0,6.0,3.0,24.0,1.0,22.0,0.0,137.0,15.0,119.0,32.0,59.0,3.0,63.0,90.0,39.0,51.0,12.0,12.0,15.0,0.03,29.0,29.0,33.0,17.0,0
3.0,3.0,3.0,3.0,21.0,1.0,20.0,0.0,101.0,12.0,88.0,26.0,45.0,1.0,48.0,62.0,26.0,36.0,6.0,6.0,7.0,0.01,14.0,14.0,15.0,12.0,0
3.0,3.0,3.0,2.0,26.0,1.0,20.0,5.0,58.0,5.0,43.0,21.0,14.0,10.0,19.0,24.0,11.0,13.0,6.0,6.0,6.0,0.23,7.0,7.0,7.0,4.0,0
4.0,4.0,5.0,2.0,23.0,2.0,18.0,2.0,118.0,15.0,78.0,25.0,36.0,25.0,43.0,59.0,25.0,34.0,11.0,11.0,15.0,0.32,17.0,17.0,22.0,9.0,1
3.0,3.0,3.0,2.0,24.0,3.0,18.0,3.0,308.0,41.0,171.0,62.0,77.0,111.0,100.0,125.0,57.0,68.0,6.0,6.0,6.0,0.65,30.0,30.0,31.0,18.0,0
2.0,2.0,2.0,1.0,9.0,0.0,9.0,0.0,13.0,2.0,11.0,4.0,4.0,0.0,5.0,7.0,5.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,0
5.0,5.0,6.0,2.0,28.0,3.0,22.0,3.0,177.0,21.0,115.0,29.0,58.0,42.0,80.0,97.0,39.0,58.0,9.0,9.0,11.0,0.37,28.0,28.0,31.0,11.0,1
4.0,3.0,4.0,2.0,19.0,1.0,18.0,0.0,159.0,19.0,134.0,41.0,68.0,6.0,76.0,97.0,36.0,61.0,9.0,9.0,12.0,0.04,28.0,25.0,31.0,19.0,0
3.0,3.0,3.0,1.0,44.0,2.0,39.0,3.0,138.0,10.0,119.0,56.0,49.0,9.0,62.0,66.0,17.0,49.0,5.0,5.0,5.0,0.08,9.0,9.0,9.0,3.0,0
2.0,2.0,2.0,2.0,19.0,1.0,16.0,1.0,363.0,39.0,252.0,102.0,112.0,76.0,119.0,156.0,72.0,84.0,10.0,10.0,10.0,0.3,41.0,39.0,41.0,30.0,1
1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,16.0,2.0,14.0,6.0,6.0,0.0,8.0,10.0,4.0,6.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0
1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,70.0,12.0,58.0,15.0,27.0,0.0,31.0,42.0,18.0,24.0,5.0,4.0,5.0,0.0,16.0,15.0,16.0,10.0,0
2.0,2.0,3.0,1.0,21.0,2.0,19.0,0.0,168.0,24.0,143.0,66.0,55.0,3.0,73.0,96.0,45.0,51.0,5.0,5.0,6.0,0.02,17.0,17.0,18.0,6.0,0
